fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;quality-binned;type-red;type-white
7.4;0.7;0.0;1.9;0.076;11.0;34.0;0.9603649733392365;3.51;0.56;0.6308724832214765;5;Medium;True;False
7.8;0.88;0.0;2.6;0.098;25.0;67.0;0.959402490904541;3.2;0.68;0.6577181208053692;5;Medium;True;False
7.8;0.76;0.04;2.3;0.092;15.0;54.0;0.9595949873914801;3.26;0.65;0.6577181208053692;5;Medium;True;False
11.2;0.28;0.56;1.9;0.075;17.0;60.0;0.9605574698261756;3.16;0.58;0.6577181208053692;6;Medium;True;False
7.4;0.66;0.0;1.8;0.075;13.0;40.0;0.9603649733392365;3.51;0.56;0.6308724832214765;5;Medium;True;False
7.9;0.6;0.06;1.6;0.069;15.0;59.0;0.9590174979306627;3.3;0.46;0.6308724832214765;5;Medium;True;False
7.3;0.65;0.0;1.2;0.065;15.0;21.0;0.9572850295482108;3.39;0.47;0.6711409395973155;7;High;True;False
7.8;0.58;0.02;2.0;0.073;9.0;18.0;0.959402490904541;3.36;0.57;0.6375838926174496;7;High;True;False
7.5;0.5;0.36;6.1;0.071;17.0;102.0;0.9603649733392365;3.35;0.8;0.7046979865771812;5;Medium;True;False
6.7;0.58;0.08;1.8;0.097;15.0;65.0;0.958536256713315;3.28;0.54;0.6174496644295301;5;Medium;True;False
5.6;0.615;0.0;1.6;0.089;16.0;59.0;0.9569962848178021;3.58;0.52;0.6644295302013423;5;Medium;True;False
7.8;0.61;0.29;1.6;0.114;9.0;29.0;0.9599799803653583;3.26;1.56;0.610738255033557;5;Medium;True;False
8.9;0.62;0.18;3.8;0.176;52.0;145.0;0.961134959286993;3.16;0.88;0.6174496644295301;5;Medium;True;False
8.9;0.62;0.19;3.9;0.17;51.0;148.0;0.961134959286993;3.17;0.93;0.6174496644295301;5;Medium;True;False
8.5;0.28;0.56;1.8;0.092;35.0;103.0;0.9594987391480105;3.3;0.75;0.7046979865771812;7;High;True;False
8.1;0.56;0.28;1.7;0.368;16.0;56.0;0.959402490904541;3.11;1.28;0.6241610738255033;5;Medium;True;False
7.4;0.59;0.08;4.4;0.086;6.0;29.0;0.9599799803653583;3.38;0.5;0.6040268456375839;4;Low;True;False
7.9;0.32;0.51;1.8;0.341;17.0;56.0;0.9594987391480105;3.04;1.08;0.6174496644295301;6;Medium;True;False
8.9;0.22;0.48;1.8;0.077;29.0;60.0;0.959402490904541;3.39;0.53;0.6308724832214765;6;Medium;True;False
7.6;0.39;0.31;2.3;0.082;23.0;71.0;0.9607499663131147;3.52;0.65;0.6510067114093959;5;Medium;True;False
7.9;0.43;0.21;1.6;0.106;10.0;37.0;0.9592099944176019;3.17;0.91;0.6375838926174496;5;Medium;True;False
8.5;0.49;0.11;2.3;0.084;9.0;67.0;0.959402490904541;3.17;0.53;0.6308724832214765;5;Medium;True;False
6.9;0.4;0.14;2.4;0.085;21.0;40.0;0.959402490904541;3.43;0.63;0.6510067114093959;6;Medium;True;False
6.3;0.39;0.16;1.4;0.08;11.0;23.0;0.9581512637394368;3.34;0.56;0.6241610738255033;5;Medium;True;False
7.6;0.41;0.24;1.8;0.08;4.0;11.0;0.9588250014437236;3.28;0.59;0.6375838926174496;5;Medium;True;False
7.1;0.71;0.0;1.9;0.08;14.0;35.0;0.9597874838784192;3.47;0.55;0.6308724832214765;5;Medium;True;False
7.8;0.645;0.0;2.0;0.082;8.0;16.0;0.9590174979306627;3.38;0.59;0.6577181208053692;6;Medium;True;False
6.7;0.675;0.07;2.4;0.089;17.0;82.0;0.9584400084698455;3.35;0.54;0.6778523489932885;5;Medium;True;False
6.9;0.685;0.0;2.5;0.105;22.0;37.0;0.9592099944176019;3.46;0.57;0.7114093959731543;6;Medium;True;False
8.3;0.655;0.12;2.3;0.083;15.0;113.0;0.9592099944176019;3.17;0.66;0.6577181208053692;5;Medium;True;False
6.9;0.605;0.12;10.7;0.073;40.0;83.0;0.9618086969912799;3.45;0.52;0.6308724832214765;6;Medium;True;False
5.2;0.32;0.25;1.8;0.103;13.0;50.0;0.9583437602263759;3.38;0.55;0.6174496644295301;5;Medium;True;False
7.8;0.645;0.0;5.5;0.086;5.0;18.0;0.961134959286993;3.4;0.55;0.6442953020134228;6;Medium;True;False
7.8;0.6;0.14;2.4;0.086;3.0;15.0;0.9600762286088279;3.42;0.6;0.7248322147651007;6;Medium;True;False
8.1;0.38;0.28;2.1;0.066;13.0;30.0;0.959402490904541;3.23;0.73;0.6510067114093959;7;High;True;False
5.7;1.13;0.09;1.5;0.172;7.0;19.0;0.9567075400873933;3.5;0.48;0.6577181208053692;4;Low;True;False
7.3;0.45;0.36;5.9;0.074;12.0;87.0;0.9603649733392365;3.33;0.83;0.7046979865771812;5;Medium;True;False
8.8;0.61;0.3;2.8;0.088;17.0;46.0;0.9601724768522975;3.26;0.51;0.6241610738255033;4;Low;True;False
7.5;0.49;0.2;2.6;0.332;8.0;14.0;0.959402490904541;3.21;0.9;0.7046979865771812;6;Medium;True;False
8.1;0.66;0.22;2.2;0.069;9.0;23.0;0.959402490904541;3.3;1.2;0.6912751677852349;5;Medium;True;False
6.8;0.67;0.02;1.8;0.05;5.0;11.0;0.9588250014437236;3.48;0.52;0.6375838926174496;5;Medium;True;False
4.6;0.52;0.15;2.1;0.054;8.0;65.0;0.956130050626576;3.9;0.56;0.8791946308724832;4;Low;True;False
7.7;0.935;0.43;2.2;0.114;22.0;114.0;0.9595949873914801;3.25;0.73;0.6174496644295301;5;Medium;True;False
8.7;0.29;0.52;1.6;0.113;12.0;37.0;0.9594987391480105;3.25;0.58;0.6375838926174496;5;Medium;True;False
6.4;0.4;0.23;1.6;0.066;5.0;12.0;0.9584400084698455;3.34;0.56;0.6174496644295301;5;Medium;True;False
5.6;0.31;0.37;1.4;0.074;12.0;96.0;0.9580550154959672;3.32;0.58;0.6174496644295301;5;Medium;True;False
8.8;0.66;0.26;1.7;0.074;4.0;23.0;0.9596912356349496;3.15;0.74;0.6174496644295301;5;Medium;True;False
6.6;0.52;0.04;2.2;0.069;8.0;15.0;0.9582475119829064;3.4;0.63;0.6308724832214765;6;Medium;True;False
6.6;0.5;0.04;2.1;0.068;6.0;14.0;0.9581512637394368;3.39;0.64;0.6308724832214765;6;Medium;True;False
8.6;0.38;0.36;3.0;0.081;30.0;119.0;0.9595949873914801;3.2;0.56;0.6308724832214765;5;Medium;True;False
7.6;0.51;0.15;2.8;0.11;33.0;73.0;0.9581512637394368;3.17;0.63;0.6845637583892616;6;Medium;True;False
7.7;0.62;0.04;3.8;0.084;25.0;45.0;0.9603649733392365;3.34;0.53;0.6375838926174496;5;Medium;True;False
10.2;0.42;0.57;3.4;0.07;4.0;10.0;0.9596912356349496;3.04;0.63;0.6442953020134228;5;Medium;True;False
7.5;0.63;0.12;5.1;0.111;50.0;110.0;0.9608462145565843;3.26;0.77;0.6308724832214765;5;Medium;True;False
7.8;0.59;0.18;2.3;0.076;17.0;54.0;0.9600762286088279;3.43;0.59;0.6711409395973155;5;Medium;True;False
7.3;0.39;0.31;2.4;0.074;9.0;46.0;0.9588250014437236;3.41;0.54;0.6308724832214765;6;Medium;True;False
8.8;0.4;0.4;2.2;0.079;19.0;52.0;0.9605574698261756;3.44;0.64;0.6174496644295301;5;Medium;True;False
7.7;0.69;0.49;1.8;0.115;20.0;112.0;0.959402490904541;3.21;0.71;0.6241610738255033;5;Medium;True;False
7.5;0.52;0.16;1.9;0.085;12.0;35.0;0.959402490904541;3.38;0.62;0.6375838926174496;7;High;True;False
7.0;0.735;0.05;2.0;0.081;13.0;54.0;0.9592099944176019;3.39;0.57;0.6577181208053692;5;Medium;True;False
7.2;0.725;0.05;4.65;0.086;4.0;11.0;0.9588250014437236;3.41;0.39;0.7315436241610739;5;Medium;True;False
7.5;0.52;0.11;1.5;0.079;11.0;39.0;0.959402490904541;3.42;0.58;0.6442953020134228;5;Medium;True;False
6.6;0.705;0.07;1.6;0.076;6.0;15.0;0.9588250014437236;3.44;0.58;0.7181208053691275;5;Medium;True;False
9.3;0.32;0.57;2.0;0.074;27.0;65.0;0.9594987391480105;3.28;0.79;0.7181208053691275;5;Medium;True;False
8.0;0.705;0.05;1.9;0.074;8.0;19.0;0.9588250014437236;3.34;0.95;0.7046979865771812;6;Medium;True;False
7.7;0.63;0.08;1.9;0.076;15.0;27.0;0.9593062426610715;3.32;0.54;0.6375838926174496;6;Medium;True;False
7.7;0.67;0.23;2.1;0.088;17.0;96.0;0.9588250014437236;3.32;0.48;0.6375838926174496;5;Medium;True;False
7.7;0.69;0.22;1.9;0.084;18.0;94.0;0.9587287532002541;3.31;0.48;0.6375838926174496;5;Medium;True;False
8.3;0.675;0.26;2.1;0.084;11.0;43.0;0.9601724768522975;3.31;0.53;0.6174496644295301;4;Low;True;False
9.7;0.32;0.54;2.5;0.094;28.0;83.0;0.9609424628000538;3.28;0.82;0.6442953020134228;5;Medium;True;False
8.8;0.41;0.64;2.2;0.093;9.0;42.0;0.961134959286993;3.54;0.66;0.7046979865771812;5;Medium;True;False
6.8;0.785;0.0;2.4;0.104;14.0;30.0;0.9592099944176019;3.52;0.55;0.7181208053691275;6;Medium;True;False
6.7;0.75;0.12;2.0;0.086;12.0;80.0;0.9584400084698455;3.38;0.52;0.6778523489932885;5;Medium;True;False
8.3;0.625;0.2;1.5;0.08;27.0;119.0;0.9597874838784192;3.16;1.12;0.610738255033557;4;Low;True;False
6.2;0.45;0.2;1.6;0.069;3.0;15.0;0.9584400084698455;3.41;0.56;0.6174496644295301;5;Medium;True;False
7.8;0.43;0.7;1.9;0.464;22.0;67.0;0.9599799803653583;3.13;1.28;0.6308724832214765;5;Medium;True;False
7.4;0.5;0.47;2.0;0.086;21.0;73.0;0.9595949873914801;3.36;0.57;0.610738255033557;5;Medium;True;False
7.3;0.67;0.26;1.8;0.401;16.0;51.0;0.9594987391480105;3.16;1.14;0.6308724832214765;5;Medium;True;False
6.3;0.3;0.48;1.8;0.069;18.0;61.0;0.958536256713315;3.44;0.78;0.6912751677852349;6;Medium;True;False
6.9;0.55;0.15;2.2;0.076;19.0;40.0;0.9587287532002541;3.41;0.59;0.6778523489932885;5;Medium;True;False
8.6;0.49;0.28;1.9;0.11;20.0;136.0;0.9597874838784192;2.93;1.95;0.6644295302013423;6;Medium;True;False
7.7;0.49;0.26;1.9;0.062;9.0;31.0;0.9592099944176019;3.39;0.64;0.6442953020134228;5;Medium;True;False
9.3;0.39;0.44;2.1;0.107;34.0;125.0;0.9603649733392365;3.14;1.22;0.6375838926174496;5;Medium;True;False
7.0;0.62;0.08;1.8;0.076;8.0;24.0;0.9603649733392365;3.48;0.53;0.6040268456375839;5;Medium;True;False
7.9;0.52;0.26;1.9;0.079;42.0;140.0;0.9590174979306627;3.23;0.54;0.6375838926174496;5;Medium;True;False
8.6;0.49;0.29;2.0;0.11;19.0;133.0;0.9597874838784192;2.93;1.98;0.6577181208053692;5;Medium;True;False
5.0;1.02;0.04;1.4;0.045;41.0;85.0;0.9565150436004543;3.75;0.48;0.7046979865771812;4;Low;True;False
4.7;0.6;0.17;2.3;0.058;17.0;106.0;0.9559375541396369;3.85;0.6;0.8657718120805369;6;Medium;True;False
